seq,Kingdom,Phylum,Class,Order,Family,Genus,Species,Combined,Combined,46152,H,Ha,I,Ia,J,Ja,Jb,K,L,M,N,Na,P,Q,Qa
144e3876b7943b5474d329bec54856a4,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus_receptaculi,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanomicrobiaceae Methanoculleus Methanoculleus_receptaculi,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanomicrobiaceae Methanoculleus Methanoculleus_receptaculi,0,0.006418508,0.00704821,0.004311413,0,0.00564011,0,0,0.002225907,0.003368251,0.002657666,0.001551172,0,0.001424916,0,0
7762e0345755e644245415ce796d6cfa,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,midas_f_880,midas_g_91627,midas_s_91627,Archaea Halobacterota Methanomicrobia Methanomicrobiales midas_f_880 midas_g_91627 midas_s_91627,Archaea Halobacterota Methanomicrobia Methanomicrobiales midas_f_880 midas_g_91627 midas_s_91627,0.023877556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88d9d7a5f4454e47ced69c6c7391068b,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,midas_g_93310,midas_s_93310,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanospirillaceae midas_g_93310 midas_s_93310,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanospirillaceae midas_g_93310 midas_s_93310,0.002387756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8f1172cd5341236c5e2a3ced113b0b2,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum_hungatei,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanospirillaceae Methanospirillum Methanospirillum_hungatei,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanospirillaceae Methanospirillum Methanospirillum_hungatei,0.005040817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbec03fc66ff2c2d4e6b089d27824139,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,midas_s_2576,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanospirillaceae Methanospirillum midas_s_2576,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanospirillaceae Methanospirillum midas_s_2576,0.003979593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e3764ae6674e989f040377aa61069b5,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,NA,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea NA,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea NA,0.001591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc96db08da9a54e69f83357f2429e767,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,NA,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea NA,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea NA,0.00344898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398b644c70b3a3b47d64e696f8b639fc,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,midas_s_118808,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_118808,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_118808,0.002387756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326834f69c357dad79f31e792597dd1d,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,midas_s_1190,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_1190,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_1190,0.060755114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89056b9f86a0886730db47a8c45825eb,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,midas_s_1190,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_1190,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_1190,0.025469393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d92b18666da2334d7051a3a9791dc97,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,midas_s_90932,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_90932,Archaea Halobacterota Methanomicrobia Methanomicrobiales Methanoregulaceae Methanolinea midas_s_90932,0.005040817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3547314cbc17e38fbaed69287ddb4f31,Archaea,Halobacterota,midas_c_92917,midas_o_92917,midas_f_92917,midas_g_92917,midas_s_92917,Archaea Halobacterota midas_c_92917 midas_o_92917 midas_f_92917 midas_g_92917 midas_s_92917,Archaea Halobacterota midas_c_92917 midas_o_92917 midas_f_92917 midas_g_92917 midas_s_92917,0.003979593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5dfb2d1578133ad81a110967e7c71462,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,midas_s_90212,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosaetaceae Methanothrix midas_s_90212,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosaetaceae Methanothrix midas_s_90212,0.004775511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702860fda44c0d44ddacb5bd79fd5d24,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosaetaceae Methanothrix NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosaetaceae Methanothrix NA,0.058102053,0,0,0,0,0,0,0,0,0,0,0.002908448,0,0.028498328,0.092688818,0.154994623
4c301bbaaa0d8e3dc3356271c20fc5b5,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,midas_s_90868,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosaetaceae Methanothrix midas_s_90868,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosaetaceae Methanothrix midas_s_90868,0.011673472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a777d4d917d8136a45eebcd830b6e5f4,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanomethylovorans,NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanomethylovorans NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanomethylovorans NA,0.005836736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5a4aad370e78b9f833c9424031c44ec,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanolobus,Methanolobus_chelungpuianus,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanolobus Methanolobus_chelungpuianus,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanolobus Methanolobus_chelungpuianus,0.004244899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35dbde30af820a2c3bcd85216229ad6a,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina,NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanosarcina NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanosarcina NA,0,0.194694746,0.218494502,0.169761902,0.603527034,0.349686833,0.300971175,0.176390175,0.062993178,0.104674873,0.03140878,0.026369927,0.045761006,0.027073412,0.01404376,0
532ff193b68d71a9e2229dd125e1eeb1,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina,NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanosarcina NA,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanosarcina NA,0.008755104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22216e3e181ee694bf4c8daa987ac8ab,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0.000530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84062ea22d23db6a01c565ec5523d81e,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0.000530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831363ded99c851c80f32aff0c59c9a2,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0.000530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60ec6b41425f294ba92e7b2f8cc23289,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0.006367348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02e328ecac1fdf0f63bb40991465112b,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0.006897961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3648f626f4aadacf25eb043bdc62c58,Bacteria,NA,NA,NA,NA,NA,NA,Bacteria NA NA NA NA NA NA,Bacteria NA NA NA NA NA NA,0.00344898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fd570e30645c57d049c83863880fd312,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,midas_g_90473,midas_s_90473,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae midas_g_90473 midas_s_90473,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae midas_g_90473 midas_s_90473,0.001326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58a5d06b791283b4270f688e0b7408c9,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,NA,NA,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomethylophilaceae NA NA,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomethylophilaceae NA NA,0.003714286,0.007131676,0.010572315,0.00323356,0.013842363,0.001974039,0.012411182,0,0,0.001813674,0.000724818,0,0,0.004433073,0,0
c040c750c7a9e9bdd14a5ee18b3c3b5b,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Ca_Methanoplasma,midas_s_93511,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomethylophilaceae Ca_Methanoplasma midas_s_93511,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomethylophilaceae Ca_Methanoplasma midas_s_93511,0.005836736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07751ebfb567d65db3f366d9c4037e68,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,midas_s_90465,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus midas_s_90465,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus midas_s_90465,0,0.005705341,0,0.007544973,0.011073891,0.005358105,0,0,0.000890363,0.005700117,0,0.001551172,0,0.003166481,0,0
f4e4eee188c4e5fb2a3b609a95f7036c,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,midas_s_90465,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus midas_s_90465,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus midas_s_90465,0.001591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa8e5e27d8fba25e37fc05340a105914,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,midas_s_90448,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus midas_s_90448,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus midas_s_90448,0.042714294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de6e665cc2a0ca6ca74b71b0581558e7,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,NA,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus NA,Archaea Thermoplasmatota Thermoplasmata Methanomassiliicoccales Methanomassiliicoccaceae Methanomassiliicoccus NA,0.032367354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8dba5d94c21557246f8c48418b0f3bda,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,SCGC_AAA011-D5,Ca_Diapherotrites_archaeon_ADurb.Bin253,midas_s_92576,Archaea Nanoarchaeota Nanoarchaeia Woesearchaeales SCGC_AAA011-D5 Ca_Diapherotrites_archaeon_ADurb.Bin253 midas_s_92576,Archaea Nanoarchaeota Nanoarchaeia Woesearchaeales SCGC_AAA011-D5 Ca_Diapherotrites_archaeon_ADurb.Bin253 midas_s_92576,0.014857146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d37046c1c20f102fc585c696c80e53c,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0.000795919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea2f92611ededb17bbf35e9977420ae5,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0.000564011,0,0,0,0,0,0,0,0,0,0
9c958ede3f88bbd0ae42120738cebe7d,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316648,0,0
712e76a5d7842a97a23eda9641c3d251,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,0,0,0,0,0,0,0,0,0,0,0,0.000775586,0,0,0,0
349da55900cd296d52fd154bfb27343b,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,0,0,0,0,0,0.002256044,0,0,0,0,0,0,0,0,0,0
a6651a449b279b248edf929c8333a191,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,0,0,0,0.00161678,0,0,0,0,0,0,0,0,0,0,0,0
5fc9bb027baf249cda2d48b9d5bcee2c,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,0,0,0,0,0,0,0,0,0,0.000518192,0,0,0,0,0,0
4b802f02d58290e6ec0ab509d13074b6,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108268,0,0
1ec84bb16e1a78a4d73faef5bc502c2c,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000474972,0,0
88399278e67a6f27c1c493c39b174391,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermobacteriaceae,Methanothermobacter,midas_s_110511,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanothermobacteriaceae Methanothermobacter midas_s_110511,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanothermobacteriaceae Methanothermobacter midas_s_110511,0.043510213,0,0,0.002694633,0,0.00253805,0,0,0,0,0,0,0,0,0,0
c4112b995ef6cd2f05559f6a3057bc7c,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_3006,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_3006,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_3006,0.061020421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab6115f8667efbf773336f71d2ab8f62,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0,0,0,0,0,0,0.001745069,0,0,0,0
7b6ecabe8f3fae795ee25df066ea90fe,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,0,0,0,0,0,0,0,0,0,0,0,0.000387793,0,0,0,0
450292bf5b89b2f473bab4a6233d8682,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0.001857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acc9e695b90b8bc38191efe7159a2e15,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0,0,0,0.004896996,0,0,0,0,0,0,0
0e94ac060981402de47bbf85360fea8b,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0.012972253,0,0,0.011574718,0.013991196,0,0.009888723,0,0,0,0
fae223fac07c33613d2f851500010fdb,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0,0,0,0.016249124,0,0,0,0,0,0,0
7f78afb7e1d45cd528fe9cd909c93fb5,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0.008224491,10.65151423,8.863123767,13.46669972,17.05932837,24.00600108,13.33891837,27.56978436,29.04030005,24.09232117,23.73561538,20.62651845,15.488575,10.51334988,10.14802123,8.768267223
8bea27e05e23cdeacb4dda62cfb59aaa,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0,0,0,0,0,0.010389058,0,0,0,0,0
ce94860005cb569777791022ac3014af,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0.014100276,0,0,0.013578035,0.014509388,0,0.011052102,0,0.00664961,0,0
6332a8b08afb6aa3ef5901e06a2c287f,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0,0,0,0,0,0.0120803,0,0,0,0,0
337f3ac617d05dd84658bcfe764dad9c,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium NA,0,0,0,0,0,0,0,0,0,0,0,0.00445962,0,0,0,0
