Start Date,,Biomass Sample,Ins - Media,,,,,,,,,,,,,,,,Ins - Substrate Gases,H? loading,,CO? loading,,,,,,,,,Outs - Passive Waste Effluent,,,,,,,,,Outs - Gas,CH?,H?,CO?,,,,,,,CH? production,CH? production,,,,,,,H?,,,,CO?,,,,,TSS/VSS,,,,,0.795857751,Operational Info (Loxone Sensor Readings),,,,,,,,,,
5/14/2024 12:42,Days of Operation,Biomass Sample ID,Media description,Media changes,Media Influent Flow Rate (mL/min) based on scales linear projection,"pH adjustment delivery rate (mL/min) - primarily 1 M HCl, sometimes 1 M NaOH",Approximate Cl- (mg/L),Approximate Na+,Approximate K+,Media Acetate (mol/L),Media Propionate (mol/L),Media Butyrate (mol/L),Media Total VFA (mg COD/L),Media Total COD (mg/L) Hach,Media Ammonia (mol/L),Media Dissolved Inorganic Carbon (mol C/L),Media Dissolved Organic Carbon (mol C/L),Approximate Total Influent C (mol/min) based on Media recipe,H2 delivery rate setpoint (mL/min),H2 loading rate (m3h2/m2),CO2 delivery rate setpoint (mL/min),CO2 loading rate (m3co2/m2),total gas loading rate (NL/m2),H2 delivery rate (mol/min),H2 delivery rate (e-eq/min),H2 delivery (g COD/min),CO2 delivery rate (mol/min),H2:CO2 ratio,Measured Total Influent C (mol/min),Approximate Total Influent C (mol/min) based on Media recipe + gas,Effluent waste flow rate (mL/min) - measured based on HRT after Day 38.1,Waste Effluent Acetate (mol/L),Waste Effluent Propionate (mol/L),Waste Effluent Butyrate (mol/L),Waste Effluent Total VFA (mg COD/L),Waste Effluent Total COD (mg/L) Hach,Waste Effluent Ammonia (mol/L),Waste Effluent Dissolved Inorganic Carbon (mol C/L),Waste Effluent Dissolved Organic Carbon (mol C/L),Gas Flow Out (mL/min at STP),Gas Composition (% CH4),Gas Composition (% H2),Gas Composition (% CO2),CH4 Production (mL/min),CH4 Production (mol/min),H2 breakthrough (mL/min),H2 breakthrough (mol/min),CO2 breakthrough (mL/min),CO2 breakthrough (mol/min),Specific CH4 production Rate (m3/m3d) .155,Specific CH4 production Rate (NL/m2d),Waste Effluent Dissolved Inorganic Carbon (mol/min) based on sensor,Effluent C as measured (mol/min),Effluent C as biomass (mol/min),Total Effluent C (mol/min) based on MT sensors,H2 Conversion to CH4 Efficiency (%) based on CH4,H2 Conversion to CH4 Efficiency (%) based on H2 (mL/min) (qh2 in -qh2out)/qh2in,H2 conversion to CH4 efficiency (30-day rolling average),Accounted H2 (%),Unaccounted H2 (%),C gas only Conversion Efficiency to CH4 (%),CO2 conversion to CH4 efficiency (30-day rolling average),C Conversion to CH4 Efficiency (%),Accounted C (%) based on MT sensors,Unaccounted C (%) based on MT sensors,Projected Cell Yield (g/min),R-TSS,W-TSS,R-VSS,W-VSS,SRT,HRT,pH,"CO2 (mg/L, aqueous dissolved CO2)",ORP (mV),Temp ©,[H],[CO2aq],pKa1,pKa2,[HCO3-],[CO3-2],TIC
,141.2,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,99.22%,86.18%,13.82%,85.96%,99.22%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.3,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,99.05%,86.18%,13.82%,85.96%,99.05%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.4,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,98.89%,86.18%,13.82%,85.96%,98.89%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.5,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,8.55E-03,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.38E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,98.72%,86.18%,13.82%,85.96%,98.72%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.6,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,98.55%,86.18%,13.82%,85.96%,98.55%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.7,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,98.39%,86.18%,13.82%,85.96%,98.39%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.8,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,#VALUE!,,1.16E-05,85.96%,99.78%,98.22%,86.18%,13.82%,85.96%,98.22%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,141.9,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,1.65E-03,4.41E-05,,108.800433,340,0,2.18E-04,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,9.86E-05,9.86E-05,,11,390,,2.31E-03,1.95E-02,0.262,0.982669667,0.009917333,0.007413,0.25788221,1.15E-05,0.00,1.16E-07,0.00,8.68E-08,2.12,2.55927,0.00E+00,1.68E-06,,1.16E-05,85.96%,99.78%,98.05%,86.18%,13.82%,85.96%,98.05%,83.19%,84%,16%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.55927,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.91%,92.63%,7.37%,92.40%,97.91%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.1,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.76%,92.63%,7.37%,92.40%,97.76%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.2,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.61%,92.63%,7.37%,92.40%,97.61%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.3,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.47%,92.63%,7.37%,92.40%,97.47%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.4,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.32%,92.63%,7.37%,92.40%,97.32%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.5,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.18%,92.63%,7.37%,92.40%,97.18%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.6,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,97.03%,92.63%,7.37%,92.40%,97.03%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.7,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.88%,92.63%,7.37%,92.40%,96.88%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.8,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.74%,92.63%,7.37%,92.40%,96.74%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,142.9,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.59%,92.63%,7.37%,92.40%,96.59%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,143,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.45%,92.63%,7.37%,92.40%,96.45%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,143.1,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.30%,92.63%,7.37%,92.40%,96.30%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,143.2,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.15%,92.63%,7.37%,92.40%,96.15%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,143.3,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,96.01%,92.63%,7.37%,92.40%,96.01%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
,143.4,,Wolfe v1: put in modified wolfe + EDTA ,,0.053483477,0.033,14084.809,323.000,221.000,,,,,,0,,,4.47E-07,1.200,11.909,0.300,2.977,14.886,5.36E-05,2.95E-04,1.37E-02,1.34E-05,4.00,1.34E-05,1.38E-05,0.086,,,,,,,,,0.285,0.97371,0.009671333,0.016468333,0.277211729,1.24E-05,0.00,1.23E-07,0.00,2.09E-07,2.28,2.75110,0.00E+00,#VALUE!,,1.26E-05,92.40%,99.77%,95.86%,92.63%,7.37%,92.40%,95.86%,89.42%,91%,9%,1.10E-03,,,,,8.426770069,3.310304917,,,,,,,,,,,
